"PointID"	"x"	"y"	"Density"	"Momentum_x"	"Momentum_y"	"Energy"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
85	4.473999887700000e-02	-3.389028465845557e-02	1.185844124563611e+00	3.203313040462962e+02	-1.050052828253973e+02	2.903020984172663e+05	9.695503984581666e+04	2.848217354610981e+02	8.402320826974172e-01	-9.626819979431769e-02	
86	3.844000026600000e-02	-3.171811260404538e-02	1.208339297155946e+00	3.139073246101399e+02	-1.141040313938027e+02	2.950485115776110e+05	9.955479974948744e+04	2.870143750110798e+02	8.138790924561997e-01	-3.899669227628028e-02	
87	3.260000050100000e-02	-2.948109446637338e-02	1.233239520700349e+00	3.058443893427299e+02	-1.238392755899465e+02	3.002799711354213e+05	1.024549226784562e+05	2.894114715105653e+02	7.845377341163465e-01	2.489167368210884e-02	
88	2.723000012300000e-02	-2.718419978786347e-02	1.261009966320311e+00	2.956484287264425e+02	-1.341353369936462e+02	3.060861421893651e+05	1.057176529084663e+05	2.920514312170054e+02	7.514911195849798e-01	9.676811066904280e-02	
89	2.232000045500000e-02	-2.482329437156798e-02	1.292154389992926e+00	2.826802260333949e+02	-1.447892984019499e+02	3.125625199770137e+05	1.094120051014878e+05	2.949720829343005e+02	7.138906860092777e-01	1.781529797479783e-01	
90	1.789999939500000e-02	-2.241364555514381e-02	1.327244909546151e+00	2.661318010506870e+02	-1.554475187785118e+02	3.198198500267981e+05	1.136140683293639e+05	2.982025744101280e+02	6.707852254751095e-01	2.707224879578597e-01	
91	1.394999958600000e-02	-1.994492353858276e-02	1.366903796582819e+00	2.450583496309657e+02	-1.652710610262014e+02	3.279775345257178e+05	1.184076535540651e+05	3.017672953720020e+02	6.209456814196446e-01	3.763229520034783e-01	
92	1.049000024800000e-02	-1.742916196961543e-02	1.411244410797593e+00	2.182514016010522e+02	-1.728757604524610e+02	3.370366860413408e+05	1.238286677036341e+05	3.056675321755995e+02	5.628987888391275e-01	4.957453848920124e-01	
93	7.519999985000000e-03	-1.486756313872443e-02	1.460044591796066e+00	1.848478666239988e+02	-1.759115067548498e+02	3.469437592112120e+05	1.298581059660759e+05	3.098370075910214e+02	4.952839071640944e-01	6.285711194105755e-01	
94	5.040000193000000e-03	-1.226032473458219e-02	1.511975086033469e+00	1.444828204846599e+02	-1.706383506219672e+02	3.574096690880322e+05	1.363509634174139e+05	3.141549601857188e+02	4.161865060753293e-01	7.716057641917348e-01	
95	3.049999941000000e-03	-9.605565346412577e-03	1.564750632552984e+00	9.899240224252672e+01	-1.523340101787291e+02	3.680099628512837e+05	1.429854028728674e+05	3.183295188946238e+02	3.246073835080848e-01	9.177593949998996e-01	
96	1.560000004000000e-03	-6.917517506923035e-03	1.609463549153413e+00	5.384937028277386e+01	-1.171639876470929e+02	3.769023474512452e+05	1.486947654794001e+05	3.218436021101225e+02	2.227699143527211e-01	1.043534010948682e+00	
97	5.600000150000000e-04	-4.173159738460802e-03	1.647890816439590e+00	1.707899217618390e+01	-6.292520041436477e+01	3.847586729104644e+05	1.533875038127764e+05	3.242588900448623e+02	1.096064883149203e-01	1.146912864650004e+00	
98	5.999999800000000e-05	-1.375329724321098e-03	1.653976339961924e+00	4.537219066729999e-03	2.007210973329337e+00	3.858099949342973e+05	1.543235107942617e+05	3.250372592869673e+02	3.357758216922435e-03	1.167532665271353e+00	
99	0.000000000000000e+00	0.000000000000000e+00	1.638548475983728e+00	9.651748747368273e-01	4.979114749121370e+01	3.824271413220270e+05	1.526681386089712e+05	3.245782851826090e+02	8.415227169577670e-02	1.131065582129885e+00	
100	5.999999800000000e-05	1.375329724321098e-03	1.634328265880352e+00	1.298827809263054e+01	9.707330578714758e+01	3.820649329287508e+05	1.516521671174160e+05	3.232508489566574e+02	1.662627067423550e-01	1.108684200358994e+00	
101	5.600000150000000e-04	4.173159738460802e-03	1.597192450549289e+00	4.250021595700733e+01	1.579520788430364e+02	3.749571793491746e+05	1.466326020138108e+05	3.198185410709082e+02	2.856574796921598e-01	9.981055041638204e-01	
102	1.560000004000000e-03	6.917517506923035e-03	1.519118513233748e+00	9.165663934365143e+01	2.009286007918260e+02	3.589390665915915e+05	1.371543709245842e+05	3.145200538877174e+02	4.089085021106629e-01	7.893044597605002e-01	
103	3.049999941000000e-03	9.605565346412577e-03	1.447697985349714e+00	1.429865203890687e+02	2.208124241448674e+02	3.445216659095727e+05	1.282482093665791e+05	3.086055167256729e+02	5.159821234625750e-01	5.931058423782013e-01	
104	5.040000193000000e-03	1.226032473458219e-02	1.376273282324266e+00	1.891248469369284e+02	2.237733652274702e+02	3.299425803851445e+05	1.195023691904389e+05	3.024838428421491e+02	6.105864144438341e-01	4.004390308422093e-01	
105	7.519999985000000e-03	1.486756313872443e-02	1.310437763874722e+00	2.266622996020280e+02	2.159169221097391e+02	3.163581968941157e+05	1.115870682430062e+05	2.966387023978655e+02	6.918705347190868e-01	2.260686141439800e-01	
106	1.049000024800000e-02	1.742916196961543e-02	1.252859190638624e+00	2.555400215854215e+02	2.024863345884966e+02	3.043653110778630e+05	1.047767125257615e+05	2.913351258297978e+02	7.605398875964028e-01	7.603962950198824e-02	
107	1.394999958600000e-02	1.994492353858276e-02	1.203552877656780e+00	2.772661565198537e+02	1.869760775917835e+02	2.940175943668904e+05	9.902263198958866e+04	2.866154750339356e+02	8.187062221279173e-01	-5.072010174146453e-02	
108	1.789999939500000e-02	2.241364555514381e-02	1.161479702618302e+00	2.933405196381859e+02	1.712826154288386e+02	2.851209941973733e+05	9.417953650993688e+04	2.824719118601338e+02	8.680189320698091e-01	-1.574112537904709e-01	
109	2.232000045500000e-02	2.482329437156798e-02	1.125568510462008e+00	3.052325816917511e+02	1.562630185890805e+02	2.774761324554963e+05	9.009700068465366e+04	2.788487772139507e+02	9.100618739684743e-01	-2.473476286380975e-01	
110	2.723000012300000e-02	2.718419978786347e-02	1.094608463601153e+00	3.140079394472892e+02	1.423812179035190e+02	2.708445834336816e+05	8.661803105136372e+04	2.756638712841186e+02	9.463346995318112e-01	-3.239877196044437e-01	
111	3.260000050100000e-02	2.948109446637338e-02	1.067565972956244e+00	3.204743325281588e+02	1.296748153593774e+02	2.650160288167790e+05	8.361541020678544e+04	2.728487365876033e+02	9.779453358975259e-01	-3.901340672080328e-01	
112	3.844000026600000e-02	3.171811260404538e-02	1.043798987589119e+00	3.252577024105710e+02	1.181459991934920e+02	2.598679760137009e+05	8.100195832024459e+04	2.703391802943287e+02	1.005818113501574e+00	-4.477072027720957e-01	
113	4.473999887700000e-02	3.389028465845557e-02	1.022641707054387e+00	3.287820151924390e+02	1.076981168682315e+02	2.552642470428289e+05	7.869642515554039e+04	2.680784162365893e+02	1.030712282496614e+00	-4.984970313978096e-01	
114	5.149000138000000e-02	3.599337852580232e-02	1.003709146538174e+00	3.313403407650944e+02	9.821314597322407e+01	2.511257908421049e+05	7.665213857345055e+04	2.660398777399972e+02	1.053005642653450e+00	-5.435317187125377e-01	
115	5.869000032500000e-02	3.802635805630503e-02	9.867275550714032e-01	3.331755733046448e+02	8.958344951394126e+01	2.473991117325351e+05	7.483319632093383e+04	2.641966974114096e+02	1.073051420720038e+00	-5.836021747353409e-01	
116	6.633000075800000e-02	3.998513962421356e-02	9.712437342522695e-01	3.344517586235575e+02	8.170618961554280e+01	2.439889193758401e+05	7.318688925129027e+04	2.625036844480154e+02	1.091381213450489e+00	-6.198695575744099e-01	
117	7.440000027400000e-02	4.186607976498817e-02	9.567918780518490e-01	3.352658794306307e+02	7.447563735727273e+01	2.407939918659316e+05	7.166232255856761e+04	2.609178220473171e+02	1.108486639385396e+00	-6.534550562509337e-01	
118	8.290000259900000e-02	4.366791468532204e-02	9.431731416987605e-01	3.357332879408891e+02	6.782212047213014e+01	2.377756488142648e+05	7.023324056275377e+04	2.594069619490162e+02	1.124731346836860e+00	-6.849370712445417e-01	
